seed,plan_cost,exec_us,rows,query
110,16522,270,0,"SELECT employees.department_id, employees.id, COUNT(users.id) AS c6401, COUNT(*)
FROM employees FULL JOIN users ON employees.id = users.id
WHERE ((employees.department_id = 31 AND employees.department_id NOT IN (6, 59, 72)) AND (employees.department_id NOT IN (1, 5, 6, 32) AND users.id = 5))
GROUP BY employees.department_id, employees.id;"
111,541846,1998,28,"SELECT orders.customer_id, orders.id
FROM orders
WHERE ((orders.id IN (97, 99, 184, 198) OR orders.id BETWEEN 31 AND 58) AND (orders.customer_id IS NOT NULL AND orders.id BETWEEN 3 AND 65));"
112,1550943,2924,2,"SELECT markets.id, markets.note, COUNT(orders.id), SUM(orders.customer_id)
FROM markets RIGHT JOIN orders ON markets.id = orders.id
WHERE ((orders.id < 188 AND orders.customer_id >= 193) OR (orders.customer_id BETWEEN 239 AND 436 OR markets.id = 1))
GROUP BY markets.id, markets.note
ORDER BY markets.id DESC, markets.note DESC;"
113,422,154,1,"SELECT t0.region, t0.note AS c6295
FROM markets AS t0
WHERE t0.id < 2;"
114,61000,219,500,"SELECT t0.id
FROM customers AS t0;"
115,10020,278,10,"SELECT t1.id AS c2831, t0.id, t0.department_id
FROM employees AS t0 RIGHT JOIN regions AS t1 ON t0.id = t1.id;"
116,677083,1090,1,"SELECT t2.customer_id
FROM markets AS t0 LEFT JOIN books AS t1 ON t0.id = t1.id JOIN orders AS t2 ON t1.id = t2.id
WHERE t2.customer_id > 244
ORDER BY t2.customer_id DESC;"
117,744,141,1,"SELECT t0.id AS c6139
FROM departments AS t0
WHERE t0.id >= 5;"
118,7052,335,0,"SELECT books.id AS c118
FROM departments RIGHT JOIN users ON departments.id = users.id FULL JOIN books ON departments.id = books.id
WHERE ((users.id > 3 AND books.price = 77) AND users.age > 443)
GROUP BY books.id;"
119,677024,1010,5,"SELECT orders.id, COUNT(departments.id)
FROM departments JOIN orders ON departments.id = orders.id
WHERE departments.id < 36
GROUP BY orders.id;"
120,1113982,1453,500,"SELECT orders.customer_id, employees.department_id
FROM employees JOIN customers ON employees.id = customers.id LEFT JOIN orders ON employees.id = orders.id;"
121,1222,133,0,"SELECT employees.id
FROM employees
WHERE ((employees.id > 68 OR employees.department_id = 5) AND (employees.id BETWEEN 2 AND 4 AND employees.department_id IN (3, 5, 5)));"
122,2847,295,0,"SELECT markets.note, employees.id
FROM employees LEFT JOIN markets ON employees.id = markets.id JOIN departments ON employees.id = departments.id
WHERE ((departments.id != 36 OR markets.region IS NULL) AND departments.id = 4);"
123,544,147,1,"SELECT t0.id, t0.note, t0.region
FROM markets AS t0
WHERE t0.id NOT BETWEEN 2 AND 21;"
124,65833,353,1,"SELECT books.price AS c5178
FROM books RIGHT JOIN customers ON books.id = customers.id
WHERE customers.id = 158
ORDER BY books.price DESC;"
125,1222,145,0,"SELECT employees.id AS c9929, employees.department_id
FROM employees
WHERE (employees.department_id = 35 AND employees.department_id < 32);"
126,4962,342,0,"SELECT books.price, books.id
FROM books FULL JOIN markets ON books.id = markets.id FULL JOIN regions ON books.id = regions.id
WHERE (markets.region != 'EUROPE' AND (regions.id IS NULL AND books.price > 66))
GROUP BY books.price, books.id;"
127,81500,262,3,"SELECT t0.region_id
FROM customers AS t0
WHERE t0.id IN (16, 32, 137)
ORDER BY t0.region_id DESC;"
128,1288,159,2,"SELECT regions.id
FROM regions
WHERE regions.id BETWEEN 9 AND 10
ORDER BY regions.id DESC;"
129,1552892,3046,3,"SELECT orders.customer_id, COUNT(orders.id) AS c1702
FROM markets LEFT JOIN books ON markets.id = books.id LEFT JOIN orders ON markets.id = orders.id
GROUP BY orders.customer_id
ORDER BY orders.customer_id DESC;"
130,680760,1036,5,"SELECT regions.id, orders.id AS c452, orders.customer_id
FROM regions JOIN departments ON regions.id = departments.id LEFT JOIN orders ON departments.id = orders.id;"
131,4006320,8008,11,"SELECT regions.id AS c9060, COUNT(orders.customer_id), COUNT(orders.id)
FROM orders FULL JOIN regions ON orders.id = regions.id
GROUP BY regions.id;"
132,2522,247,0,"SELECT t0.id AS c4692, t1.department_id AS c2149, t1.id
FROM departments AS t0 RIGHT JOIN employees AS t1 ON t0.id = t1.id
WHERE (t1.id IN (32, 66, 68, 80) AND (t1.id <= 26 OR t1.department_id <= 5));"
133,678982,931,11,"SELECT t1.id AS c8251, t0.customer_id, t0.id AS c2451
FROM orders AS t0 JOIN employees AS t1 ON t0.id = t1.id;"
134,17111100,16205,55000,"SELECT orders.customer_id AS c6356
FROM employees CROSS JOIN orders
ORDER BY orders.customer_id ASC;"
135,4015260,8754,5001,"SELECT users.id, regions.id AS c3154
FROM orders FULL JOIN users ON orders.id = users.id RIGHT JOIN regions ON orders.id = regions.id
ORDER BY users.id DESC, regions.id DESC;"
136,12682,387,4,"SELECT books.price
FROM regions CROSS JOIN markets LEFT JOIN books ON regions.id = books.id
GROUP BY books.price
ORDER BY books.price DESC;"
137,3160,137,5,"SELECT departments.id, SUM(departments.id), COUNT(*) AS c6998
FROM departments
GROUP BY departments.id;"
138,6320,137,10,"SELECT regions.id AS c7258
FROM regions
GROUP BY regions.id;"
139,932,178,2,"SELECT markets.id
FROM markets
WHERE ((markets.note = 'Old World' OR markets.id >= 2) OR (markets.region = 'AMERICA' AND markets.region = 'EUROPE'))
GROUP BY markets.id;"
140,422,152,3,"SELECT t0.price, t0.id AS c3105
FROM books AS t0
WHERE t0.id IS NOT NULL;"
141,5272,358,0,"SELECT t1.id AS c8895, t1.note AS c8854, SUM(t1.id)
FROM books AS t0 RIGHT JOIN markets AS t1 ON t0.id = t1.id RIGHT JOIN employees AS t2 ON t0.id = t2.id
WHERE t1.id > 24
GROUP BY t1.id, t1.note;"
142,87712,367,17,"SELECT t1.region_id AS c1630
FROM users AS t0 JOIN customers AS t1 ON t0.id = t1.id LEFT JOIN employees AS t2 ON t0.id = t2.id;"
143,422,158,1,"SELECT t0.id, t0.price
FROM books AS t0
WHERE t0.price <= 55;"
144,14944,273,10,"SELECT t1.department_id AS c3966, SUM(t1.id) AS c1392, COUNT(*) AS c3892
FROM books AS t0 CROSS JOIN employees AS t1
WHERE t1.department_id != 12
GROUP BY t1.department_id;"
145,3072,283,2,"SELECT t1.department_id AS c6376, t1.id AS c3596
FROM books AS t0 RIGHT JOIN employees AS t1 ON t0.id = t1.id
WHERE ((t0.id < 1 OR t1.id IS NOT NULL) AND (t0.id != 3 AND t1.department_id <= 35));"
146,3325,163,5,"SELECT departments.id
FROM departments
GROUP BY departments.id
ORDER BY departments.id DESC;"
147,12750,343,110,"SELECT regions.id
FROM departments FULL JOIN employees ON departments.id = employees.id CROSS JOIN regions;"
148,6250,268,20,"SELECT books.id, books.price AS c5525, regions.id
FROM books CROSS JOIN regions
WHERE books.price < 69;"
149,102500,278,422,"SELECT t0.region_id AS c6318
FROM customers AS t0
WHERE t0.id > 78
ORDER BY t0.region_id DESC;"
150,1519000,1214,1040,"SELECT t0.id, t1.id AS c921
FROM regions AS t0 CROSS JOIN customers AS t1
WHERE t1.region_id IN (5, 9, 51)
GROUP BY t0.id, t1.id;"
151,4014888,11011,0,"SELECT regions.id, users.age, orders.id
FROM regions RIGHT JOIN users ON regions.id = users.id FULL JOIN orders ON users.id = orders.id
WHERE ((orders.customer_id BETWEEN 283 AND 359 AND users.id IN (10, 17, 17, 39)) OR (users.id IN (14, 16, 64, 75) AND users.id >= 81))
ORDER BY orders.id ASC, regions.id DESC, users.age ASC;"
152,12160,277,55,"SELECT departments.id, employees.department_id, employees.id
FROM departments CROSS JOIN employees
ORDER BY employees.id ASC;"
153,239300,1323,1500,"SELECT t1.id, t0.region_id, t0.id
FROM customers AS t0 CROSS JOIN books AS t1;"
154,5655,174,10,"SELECT regions.id, SUM(regions.id) AS c8443
FROM regions
WHERE (regions.id >= 1 OR (regions.id >= 8 OR regions.id = 5))
GROUP BY regions.id
ORDER BY regions.id ASC;"
155,681356,1097,2,"SELECT markets.region
FROM markets LEFT JOIN orders ON markets.id = orders.id JOIN employees ON markets.id = employees.id
GROUP BY markets.region;"
156,4001220,3942,10,"SELECT t1.customer_id, t1.id AS c2544, t0.id AS c7170
FROM regions AS t0 LEFT JOIN orders AS t1 ON t0.id = t1.id;"
157,675750,1912,4840,"SELECT t1.region_id, t2.id
FROM users AS t0 RIGHT JOIN customers AS t1 ON t0.id = t1.id CROSS JOIN regions AS t2
WHERE t0.id IS NULL;"
158,5727,298,7,"SELECT t1.id, t0.id AS c3888, t2.id AS c5161
FROM employees AS t0 FULL JOIN regions AS t1 ON t0.id = t1.id JOIN books AS t2 ON t0.id = t2.id
WHERE t0.id IS NULL;"
159,2253028,2641,3,"SELECT orders.customer_id AS c3770, departments.id AS c4567, COUNT(*) AS c2771
FROM departments LEFT JOIN orders ON departments.id = orders.id
WHERE ((orders.customer_id NOT BETWEEN 115 AND 380 OR departments.id IS NULL) OR orders.id = 174)
GROUP BY orders.customer_id, departments.id;"
160,610000,1128,5000,"SELECT t0.id, t0.customer_id AS c1926
FROM orders AS t0;"
161,91868,354,33,"SELECT t1.region AS c961, t2.id
FROM employees AS t0 CROSS JOIN markets AS t1 JOIN customers AS t2 ON t1.id = t2.id;"
162,1466,157,3,"SELECT employees.id, employees.department_id
FROM employees
WHERE ((employees.id NOT IN (5, 67, 68) AND employees.department_id = 28) OR (employees.id > 4 AND employees.department_id > 32));"
